reward_mode,gamma,epsilon_schedule,seed,row,column,has_key,q_up,q_down,q_left,q_right,max_q,best_action,is_terminal
sparse,0.5,linear,3,1,1,0,-1.0496277705189663,-0.45208751112925794,-1.040885248528733,-0.34248391855196486,-0.34248391855196486,right,False
sparse,0.5,linear,3,1,1,1,-0.9805423939600719,-0.30496785786981395,-0.9315697784540562,-0.2491643905366214,-0.2491643905366214,right,False
sparse,0.5,linear,3,1,2,0,-0.9633336243257851,-0.21297349196960574,-0.41113640695863307,-0.35973222930345183,-0.21297349196960574,down,False
sparse,0.5,linear,3,1,2,1,-0.9123729491679449,-0.2032576704003797,-0.2362761944876836,-0.233652243866585,-0.2032576704003797,down,False
sparse,0.5,linear,3,1,3,0,-0.7442188294073135,-0.20127310288555578,-0.28720421389933243,-0.31880944271115835,-0.20127310288555578,down,False
sparse,0.5,linear,3,1,3,1,-0.7964452153411227,-0.199984384333859,-0.2115508372947079,-0.3431890085455047,-0.199984384333859,down,False
sparse,0.5,linear,3,1,4,0,-0.8042853004615114,-0.20001175173552097,-0.3527541540140407,-0.3042656077578607,-0.20001175173552097,down,False
sparse,0.5,linear,3,1,4,1,-0.8609104963840526,-0.2000157069715715,-0.3481174892995239,-0.3077217169606304,-0.2000157069715715,down,False
sparse,0.5,linear,3,1,5,0,-0.8230374554256352,-0.19997347791609568,-0.267848078186304,-0.2512993832377691,-0.19997347791609568,down,False
sparse,0.5,linear,3,1,5,1,-0.8101228279931856,-0.20282140431171208,-0.21625687080253983,-0.3386135133888618,-0.20282140431171208,down,False
sparse,0.5,linear,3,1,6,0,-0.8628080745189283,-0.1999402311874879,-0.2027951264937201,-0.2732887678859545,-0.1999402311874879,down,False
sparse,0.5,linear,3,1,6,1,-1.5613412353047773,-0.22095009119975412,-0.3129667618585889,-0.27884306084133126,-0.22095009119975412,down,False
sparse,0.5,linear,3,1,7,0,-0.8084419894952781,-0.1998610258003616,-0.3367630778453432,-0.2699536614657555,-0.1998610258003616,down,False
sparse,0.5,linear,3,1,7,1,-0.8805689734171358,-0.20117748076978897,-0.25523418166783934,-0.21704263202396945,-0.20117748076978897,down,False
sparse,0.5,linear,3,1,8,0,-0.9413077195277515,-0.19971105642087172,-0.3002435563601747,-0.22530151285078032,-0.19971105642087172,down,False
sparse,0.5,linear,3,1,8,1,-0.8094894497480578,-0.1994441607125729,-0.3485746738309714,-0.212092194821564,-0.1994441607125729,down,False
sparse,0.5,linear,3,1,9,0,-0.9398975993769482,-0.19984893419427546,-0.2196704829352942,-0.21035905088629994,-0.19984893419427546,down,False
sparse,0.5,linear,3,1,9,1,-0.8712444755104557,-0.19940566943848387,-0.2272850538843984,-0.36752801499647264,-0.19940566943848387,down,False
sparse,0.5,linear,3,1,10,0,-0.923508750752126,-0.19989450354966498,-0.3599480298714867,-0.44899539619765827,-0.19989450354966498,down,False
sparse,0.5,linear,3,1,10,1,-0.7773609312739099,-0.19938101496634741,-0.2983908996598151,-0.22483387229856308,-0.19938101496634741,down,False
sparse,0.5,linear,3,1,11,0,-0.8622069785772407,-0.19990714616691652,-0.3211542300206405,-0.4049595567950531,-0.19990714616691652,down,False
sparse,0.5,linear,3,1,11,1,-0.7690100608896954,-0.1995890097106461,-0.33272367479580517,-0.23037068565663207,-0.1995890097106461,down,False
sparse,0.5,linear,3,1,12,0,-0.7249377933560466,-0.19997554449060082,-0.2012280268008727,-0.24538620018667612,-0.19997554449060082,down,False
sparse,0.5,linear,3,1,12,1,-0.9143887273996493,-0.20209839514240782,-0.24196378787321582,-0.4220765314093686,-0.20209839514240782,down,False
sparse,0.5,linear,3,1,13,0,-0.963606459443227,-0.20013539226975627,-0.27751024878560787,-0.3607134910761751,-0.20013539226975627,down,False
sparse,0.5,linear,3,1,13,1,-0.9697068571877578,-0.24600679719236146,-0.3308595871882436,-0.3800595278286126,-0.24600679719236146,down,False
sparse,0.5,linear,3,1,14,0,-1.0067924809629152,-0.20119241787313666,-0.2272121919642288,-0.36384572352831857,-0.20119241787313666,down,False
sparse,0.5,linear,3,1,14,1,-0.8966955757163936,-0.20178719335181067,-0.2333022125285735,-0.22898797200341212,-0.20178719335181067,down,False
sparse,0.5,linear,3,1,15,0,-0.9640266852605837,-0.20448752014294935,-0.4346117872984733,-0.30250780141599937,-0.20448752014294935,down,False
sparse,0.5,linear,3,1,15,1,-0.7522552508637096,-0.19856078466568094,-0.37242342404504564,-0.2955071727810915,-0.19856078466568094,down,False
sparse,0.5,linear,3,1,16,0,-1.0042015691760782,-0.35190576208703067,-0.30227031318600034,-0.9770547749382439,-0.30227031318600034,left,False
sparse,0.5,linear,3,1,16,1,-0.9693659252619085,-0.2149576290383692,-0.3656182291811216,-0.9772564486287019,-0.2149576290383692,down,False
sparse,0.5,linear,3,2,1,0,-0.2404930653484211,-0.30051981398656147,-0.9310689528184016,-0.20623301484390685,-0.20623301484390685,right,False
sparse,0.5,linear,3,2,1,1,-0.3138140032818301,-0.24246743203937263,-0.9629207904883855,-0.2051663676732142,-0.2051663676732142,right,False
sparse,0.5,linear,3,2,2,0,-0.20214880499285753,-0.20105689164655757,-0.20169771695332767,-0.20006385691589124,-0.20006385691589124,right,False
sparse,0.5,linear,3,2,2,1,-0.20081810307903328,-0.20038464908905892,-0.2012574250237538,-0.20018784678775584,-0.20018784678775584,right,False
sparse,0.5,linear,3,2,3,0,-0.200177742182093,-0.20002295698542596,-0.2000864252872995,-0.20007906059415578,-0.20002295698542596,down,False
sparse,0.5,linear,3,2,3,1,-0.1999482337753455,-0.1999456912963126,-0.19994577489172935,-0.19994473329384674,-0.19994473329384674,right,False
sparse,0.5,linear,3,2,4,0,-0.1999919256991071,-0.19998766183899305,-0.19999771273036498,-0.19997644075121943,-0.19997644075121943,right,False
sparse,0.5,linear,3,2,4,1,-0.19994859828896477,-0.20647491927204598,-0.19994480237209217,-0.1999528952844111,-0.19994480237209217,left,False
sparse,0.5,linear,3,2,5,0,-0.19997120852349504,-0.19997010656887657,-0.1999790478689858,-0.19994184805278742,-0.19994184805278742,right,False
sparse,0.5,linear,3,2,5,1,-0.2009448054340104,-0.19980115258359038,-0.1998675894919497,-0.20748419113309682,-0.19980115258359038,down,False
sparse,0.5,linear,3,2,6,0,-0.19992628035184645,-0.19992033519215685,-0.19995346347744364,-0.19986597828150238,-0.19986597828150238,right,False
sparse,0.5,linear,3,2,6,1,-0.2217589875096875,-0.19965373164274142,-0.20099292949781794,-0.21775253053499885,-0.19965373164274142,down,False
sparse,0.5,linear,3,2,7,0,-0.19987190455975115,-0.1998138107575166,-0.19986146689246181,-0.19970037073252303,-0.19970037073252303,right,False
sparse,0.5,linear,3,2,7,1,-0.20051668296753072,-0.19953379578448213,-0.1995853013739363,-0.22311191098968483,-0.19953379578448213,down,False
sparse,0.5,linear,3,2,8,0,-0.19983488137584662,-0.1992864239705987,-0.19977325108700789,-0.19982200366596548,-0.1992864239705987,down,False
sparse,0.5,linear,3,2,8,1,-0.19912755607698696,-0.19911550021838448,-0.19917050169676448,-0.19914855516892796,-0.19911550021838448,down,False
sparse,0.5,linear,3,2,9,0,-0.1998574985797896,-0.19973597011169053,-0.1996946132019154,-0.19985507585523035,-0.1996946132019154,left,False
sparse,0.5,linear,3,2,9,1,-0.1994250263629555,-0.34558904517473005,-0.19950586566982714,-0.19943559083097548,-0.1994250263629555,up,False
sparse,0.5,linear,3,2,10,0,-0.19987691622430317,-0.19983242214260993,-0.19980471204124076,-0.19990323906917032,-0.19980471204124076,left,False
sparse,0.5,linear,3,2,10,1,-0.21362370896227686,-0.19940006805963986,-0.1993996713630657,-0.1993777307542961,-0.1993777307542961,right,False
sparse,0.5,linear,3,2,11,0,-0.19993816080609972,-0.19985244368629237,-0.19985161157162298,-0.19994241230014417,-0.19985161157162298,left,False
sparse,0.5,linear,3,2,11,1,-0.19912016956242343,-0.19909107536689585,-0.1993225758258154,-0.19913305447651847,-0.19909107536689585,down,False
sparse,0.5,linear,3,2,12,0,-0.20000733231349732,-0.19994924829008381,-0.19990777018233621,-0.1999954606399777,-0.19990777018233621,left,False
sparse,0.5,linear,3,2,12,1,-0.19996472399609344,-0.19927798318703444,-0.2001088096379242,-0.20013805817866603,-0.19927798318703444,down,False
sparse,0.5,linear,3,2,13,0,-0.20025240579834694,-0.19999284491290675,-0.20007241988284605,-0.20006602070771007,-0.19999284491290675,down,False
sparse,0.5,linear,3,2,13,1,-0.23043869664093858,-0.2927775794563138,-0.20806604083377478,-0.20359568119577767,-0.20359568119577767,right,False
sparse,0.5,linear,3,2,14,0,-0.2028733775855643,-0.19999699693728648,-0.20042834046467134,-0.20041483591367157,-0.19999699693728648,down,False
sparse,0.5,linear,3,2,14,1,-0.1989077255842071,-0.2005524586622996,-0.19971204253226071,-0.19843607960159926,-0.19843607960159926,right,False
sparse,0.5,linear,3,2,15,0,-0.2006717675634044,-0.20039379872455765,-0.20021116379947657,-0.20049760604668682,-0.20021116379947657,left,False
sparse,0.5,linear,3,2,15,1,-0.19831061236048086,-0.19820976794314568,-0.19821617652863469,-0.1981300829346311,-0.1981300829346311,right,False
sparse,0.5,linear,3,2,16,0,-0.2391678510915154,-0.28911933041649784,-0.20547938818384395,-0.9423608824837586,-0.20547938818384395,left,False
sparse,0.5,linear,3,2,16,1,-0.2965209289160347,-0.35861054881190185,-0.1981005430780529,-1.0029708644716349,-0.1981005430780529,left,False
sparse,0.5,linear,3,3,1,0,-0.28424165676681207,-0.27104210997357125,-0.9375305775488804,-0.20412517521226442,-0.20412517521226442,right,False
sparse,0.5,linear,3,3,1,1,-0.3710913367677732,-0.2777035194968209,-0.8809187983452094,-0.2049382012179368,-0.2049382012179368,right,False
sparse,0.5,linear,3,3,2,0,-0.20032137705752506,-0.23629665892950236,-0.20427016354491934,-0.2030706684512925,-0.20032137705752506,up,False
sparse,0.5,linear,3,3,2,1,-0.20136902973255966,-0.2502220718206795,-0.21952345625209035,-0.20532976885441026,-0.20136902973255966,up,False
sparse,0.5,linear,3,3,3,0,-0.20006152159343413,-4.514873019578716,-0.7288087928937851,-0.8028631906235111,-0.20006152159343413,up,False
sparse,0.5,linear,3,3,3,1,-0.19994956408783934,-3.7467740069939506,-0.4227396844958655,-0.5122311507361764,-0.19994956408783934,up,False
sparse,0.5,linear,3,3,4,0,-0.19998968990996624,-0.2680692818905948,-0.20640428401178512,-0.205935752953605,-0.19998968990996624,up,False
sparse,0.5,linear,3,3,4,1,-0.1998483529686428,-0.23299067863948583,-0.20861059369319881,-0.202457670484246,-0.1998483529686428,up,False
sparse,0.5,linear,3,3,5,0,-0.19995987711318242,-0.20133792198719358,-0.20009095461374238,-0.2001449255078319,-0.19995987711318242,up,False
sparse,0.5,linear,3,3,5,1,-0.19978013856789184,-0.20225539684451077,-0.20001320687477145,-0.3065920171623841,-0.19978013856789184,up,False
sparse,0.5,linear,3,3,6,0,-0.19990341081522103,-0.19983722343514607,-0.1999668295293443,-0.19971289208305007,-0.19971289208305007,right,False
sparse,0.5,linear,3,3,6,1,-0.19947676189133293,-0.19954174423273666,-0.1994662862301479,-0.1994599180297859,-0.1994599180297859,right,False
sparse,0.5,linear,3,3,7,0,-0.199716032966162,-0.1992948913936991,-0.19973144633909007,-0.19961352424466686,-0.1992948913936991,down,False
sparse,0.5,linear,3,3,7,1,-0.19946596413578818,-0.199442870024796,-0.8421750487211419,-0.19946351014939465,-0.199442870024796,down,False
sparse,0.5,linear,3,3,8,0,-0.19960833917885157,-0.1982420188743118,-0.19952034349586825,-0.19946700153872665,-0.1982420188743118,down,False
sparse,0.5,linear,3,3,8,1,-0.19922172279857103,-0.19921341364361797,-0.19930065130223626,-0.19924542867710102,-0.19921341364361797,down,False
sparse,0.5,linear,3,3,9,0,-0.19967671724516045,-0.19930377369656627,-0.1994711990836039,-0.19977004198795373,-0.19930377369656627,down,False
sparse,0.5,linear,3,3,9,1,-0.19927816230187256,-0.1992859707402143,-0.19929920209853957,-0.19932187151978353,-0.19927816230187256,up,False
sparse,0.5,linear,3,3,10,0,-0.1998376503503343,-0.19975246677937747,-0.19959463483149567,-0.19984337550143244,-0.19959463483149567,left,False
sparse,0.5,linear,3,3,10,1,-0.19930610188222123,-0.19929934878207456,-0.19935151766202877,-0.19932325935444695,-0.19929934878207456,down,False
sparse,0.5,linear,3,3,11,0,-0.19989607566780399,-0.19981704102144088,-0.19981675046195438,-0.19989317603923534,-0.19981675046195438,left,False
sparse,0.5,linear,3,3,11,1,-0.19918403480380314,-0.19923567193457567,-0.1991699952185746,-0.1991832647610525,-0.1991699952185746,left,False
sparse,0.5,linear,3,3,12,0,-0.19996886881035056,-0.19986222161504483,-0.19985418454788867,-0.19996212160140925,-0.19985418454788867,left,False
sparse,0.5,linear,3,3,12,1,-0.210222508015893,-0.3178405074610674,-0.19926178319692553,-0.2956236274552865,-0.19926178319692553,left,False
sparse,0.5,linear,3,3,13,0,-0.19999156722173425,-3.74922083028905,-0.8966376691834101,-1.08234592483181,-0.19999156722173425,up,False
sparse,0.5,linear,3,3,13,1,-0.4021701166239991,-4.648053055462926,-0.9700811521598485,-1.0387984108968047,-0.4021701166239991,up,False
sparse,0.5,linear,3,3,14,0,-0.19999494083580646,-0.19999451767424278,-0.19999429564821022,-0.1999958123802024,-0.19999429564821022,left,False
sparse,0.5,linear,3,3,14,1,-0.2321502610268801,-0.21701967945899955,-0.3100071753395114,-1.1778757528269228,-0.21701967945899955,down,False
sparse,0.5,linear,3,3,15,0,-0.20001568400867498,-0.19999535734347837,-0.20330524654268325,-0.20855819161285435,-0.19999535734347837,down,False
sparse,0.5,linear,3,3,15,1,-0.1982956009139026,-0.19886082949137596,-0.2008276427886727,-0.19823477662550484,-0.19823477662550484,right,False
sparse,0.5,linear,3,3,16,0,-0.32156138577195315,-0.2063321693142151,-0.19999396949831902,-0.9097732126453347,-0.19999396949831902,left,False
sparse,0.5,linear,3,3,16,1,-0.32507398388478437,-0.318140031998211,-0.19857274279152484,-0.8398629173144417,-0.19857274279152484,left,False
sparse,0.5,linear,3,4,1,0,-0.4194760123869015,-0.38168731440080744,-1.0271048603916415,-0.25263899995547795,-0.25263899995547795,right,False
sparse,0.5,linear,3,4,1,1,-0.3472886261675413,-0.43594282060591827,-1.0136537509475925,-0.22742447284369374,-0.22742447284369374,right,False
sparse,0.5,linear,3,4,2,0,-0.9405678125907507,-1.2507885305981516,-0.34014600706868836,-4.177766549574709,-0.34014600706868836,left,False
sparse,0.5,linear,3,4,2,1,-0.2999564780394205,-1.734209628757391,-0.2299458145094472,-4.626604057257931,-0.2299458145094472,left,False
sparse,0.5,linear,3,4,3,0,-0.2094500631734993,-0.8429491955707158,-0.32836960684155014,-0.25847390568763245,-0.2094500631734993,up,False
sparse,0.5,linear,3,4,3,1,-0.20734702800688806,-0.8636497641201005,-0.30830401946351416,-0.3120334809131365,-0.20734702800688806,up,False
sparse,0.5,linear,3,4,4,0,-0.7383039241897243,-1.4189119608800826,-3.7246337902069797,-0.2898175674937272,-0.2898175674937272,right,False
sparse,0.5,linear,3,4,4,1,-0.48135853487892877,-1.1426835068475119,-4.633335345501679,-0.27897825926700714,-0.27897825926700714,right,False
sparse,0.5,linear,3,4,5,0,-0.20017513531750183,-0.8577341510098484,-0.3853386527832698,-0.24490988437583192,-0.20017513531750183,up,False
sparse,0.5,linear,3,4,5,1,-0.20349390146729282,-0.9527424705415211,-0.2976226730839428,-0.3202775565197927,-0.20349390146729282,up,False
sparse,0.5,linear,3,4,6,0,-0.19987660537851068,-0.20006842346457315,-0.20162275477839722,-0.199522274619469,-0.199522274619469,right,False
sparse,0.5,linear,3,4,6,1,-0.19954137395158583,-0.20066070416128326,-0.20427957863793944,-0.22357130323482832,-0.19954137395158583,up,False
sparse,0.5,linear,3,4,7,0,-0.19935015312495452,-0.19934216322633375,-0.1995761620458671,-0.19851693495208678,-0.19851693495208678,right,False
sparse,0.5,linear,3,4,7,1,-0.19939612203604767,-0.19937181099156756,-0.1998052937205706,-0.19935503333684917,-0.19935503333684917,right,False
sparse,0.5,linear,3,4,8,0,-0.19908528119164667,-0.19565974280991383,-0.1985634460137855,-0.19917227306054,-0.19565974280991383,down,False
