reward_mode,gamma,row,column,has_key,value,best_action,is_terminal
sparse,0.5,1,1,0,-0.2971000002705925,right,False
sparse,0.5,1,1,1,-0.2971011185523905,right,False
sparse,0.5,1,2,0,-0.20497208144066995,down,False
sparse,0.5,1,2,1,-0.20497415386330015,down,False
sparse,0.5,1,3,0,-0.2002480772178307,down,False
sparse,0.5,1,3,1,-0.2002528910442724,down,False
sparse,0.5,1,4,0,-0.1999965143922102,down,False
sparse,0.5,1,4,1,-0.2000072071353127,down,False
sparse,0.5,1,5,0,-0.1999613151916963,down,False
sparse,0.5,1,5,1,-0.19998645254836972,down,False
sparse,0.5,1,6,0,-0.19990816087687455,down,False
sparse,0.5,1,6,1,-0.19996581688374296,down,False
sparse,0.5,1,7,0,-0.19980339431035954,down,False
sparse,0.5,1,7,1,-0.19992650024539171,down,False
sparse,0.5,1,8,0,-0.1996352755137512,down,False
sparse,0.5,1,8,1,-0.19986282233858116,down,False
sparse,0.5,1,9,0,-0.19980343208622095,down,False
sparse,0.5,1,9,1,-0.19992384650354805,down,False
sparse,0.5,1,10,0,-0.19990796077107226,down,False
sparse,0.5,1,10,1,-0.19994437988391306,down,False
sparse,0.5,1,11,0,-0.1999576519096242,down,False
sparse,0.5,1,11,1,-0.1999066255393885,down,False
sparse,0.5,1,12,0,-0.19998125214620552,down,False
sparse,0.5,1,12,1,-0.19992542072774105,down,False
sparse,0.5,1,13,0,-0.20000474247631944,down,False
sparse,0.5,1,13,1,-0.1999104107903325,down,False
sparse,0.5,1,14,0,-0.20025080412009663,down,False
sparse,0.5,1,14,1,-0.20002111921173213,down,False
sparse,0.5,1,15,0,-0.2049675032658687,down,False
sparse,0.5,1,15,1,-0.2046207322085714,down,False
sparse,0.5,1,16,0,-0.2970898853885329,left,False
sparse,0.5,1,16,1,-0.29691168389625444,down,False
sparse,0.5,2,1,0,-0.2051228874184859,right,False
sparse,0.5,2,1,1,-0.20512494324988245,right,False
sparse,0.5,2,2,0,-0.2002616768363699,right,False
sparse,0.5,2,2,1,-0.20026604875602946,right,False
sparse,0.5,2,3,0,-0.1999990620552719,right,False
sparse,0.5,2,3,1,-0.20000873570829844,right,False
sparse,0.5,2,4,0,-0.1999650995996799,right,False
