algorithm,reward_mode,gamma,lambda,epsilon_schedule,seed,state_group,total_states,matching_states,agreement_percentage
Q-Learning,sparse,0.9,,exponential,3,all,470,279,59.361702127659576
Q-Learning,sparse,0.9,,exponential,3,before_key,234,142,60.68376068376068
Q-Learning,sparse,0.9,,exponential,3,after_key,236,137,58.05084745762712
Q-Learning,sparse,0.9,,exponential,4,all,470,286,60.851063829787236
Q-Learning,sparse,0.9,,exponential,4,before_key,234,147,62.82051282051282
Q-Learning,sparse,0.9,,exponential,4,after_key,236,139,58.898305084745765
Q-Learning,sparse,0.9,,exponential,5,all,470,307,65.31914893617021
Q-Learning,sparse,0.9,,exponential,5,before_key,234,171,73.07692307692308
Q-Learning,sparse,0.9,,exponential,5,after_key,236,136,57.6271186440678
Q-Learning,shaped,0.9,,exponential,3,all,470,350,74.46808510638297
Q-Learning,shaped,0.9,,exponential,3,before_key,234,175,74.78632478632478
Q-Learning,shaped,0.9,,exponential,3,after_key,236,175,74.15254237288136
Q-Learning,shaped,0.9,,exponential,4,all,470,343,72.97872340425532
Q-Learning,shaped,0.9,,exponential,4,before_key,234,164,70.08547008547009
Q-Learning,shaped,0.9,,exponential,4,after_key,236,179,75.84745762711864
Q-Learning,shaped,0.9,,exponential,5,all,470,351,74.68085106382979
Q-Learning,shaped,0.9,,exponential,5,before_key,234,174,74.35897435897436
Q-Learning,shaped,0.9,,exponential,5,after_key,236,177,75.0
SARSA(lambda),sparse,0.9,0.3,exponential,3,all,470,256,54.46808510638298
SARSA(lambda),sparse,0.9,0.3,exponential,3,before_key,234,131,55.98290598290598
SARSA(lambda),sparse,0.9,0.3,exponential,3,after_key,236,125,52.96610169491525
SARSA(lambda),sparse,0.9,0.3,exponential,4,all,470,260,55.319148936170215
SARSA(lambda),sparse,0.9,0.3,exponential,4,before_key,234,136,58.11965811965812
SARSA(lambda),sparse,0.9,0.3,exponential,4,after_key,236,124,52.54237288135593
SARSA(lambda),sparse,0.9,0.3,exponential,5,all,470,251,53.40425531914894
SARSA(lambda),sparse,0.9,0.3,exponential,5,before_key,234,133,56.837606837606835
SARSA(lambda),sparse,0.9,0.3,exponential,5,after_key,236,118,50.0
SARSA(lambda),shaped,0.9,0.3,exponential,3,all,470,332,70.63829787234043
SARSA(lambda),shaped,0.9,0.3,exponential,3,before_key,234,164,70.08547008547009
SARSA(lambda),shaped,0.9,0.3,exponential,3,after_key,236,168,71.1864406779661
SARSA(lambda),shaped,0.9,0.3,exponential,4,all,470,324,68.93617021276596
SARSA(lambda),shaped,0.9,0.3,exponential,4,before_key,234,158,67.52136752136752
SARSA(lambda),shaped,0.9,0.3,exponential,4,after_key,236,166,70.33898305084746
SARSA(lambda),shaped,0.9,0.3,exponential,5,all,470,336,71.48936170212765
SARSA(lambda),shaped,0.9,0.3,exponential,5,before_key,234,164,70.08547008547009
SARSA(lambda),shaped,0.9,0.3,exponential,5,after_key,236,172,72.88135593220339
