reward_mode,gamma,epsilon_schedule,seed,alpha,episodes,execution_time,final_epsilon,successful_episodes,overall_success_rate,final_window_success_rate,mean_reward,mean_reward_last_window,mean_steps,mean_steps_last_window,total_wall_collisions,total_penalty_entries,state_count
sparse,0.5,linear,3,0.1,3000,6.456901199999265,0.05,2659,0.8863333333333333,1.0,50.90753333333361,102.635,207.25066666666666,64.58,45011,7326,471
sparse,0.5,linear,4,0.1,3000,6.198243699998784,0.05,2660,0.8866666666666667,1.0,49.82903333333362,103.541,209.584,57.64,46510,7596,471
sparse,0.5,linear,5,0.1,3000,6.174837200000184,0.05,2651,0.8836666666666667,1.0,48.592600000000296,102.94,212.71066666666667,62.81,46754,7904,471
sparse,0.5,exponential,3,0.1,3000,3.7993313999995735,0.05,2826,0.942,1.0,77.3419666666668,103.084,135.927,59.66,22158,3637,471
sparse,0.5,exponential,4,0.1,3000,3.6481452000007266,0.05,2828,0.9426666666666667,1.0,77.35506666666679,102.98100000000001,135.809,62.81,21943,3737,471
sparse,0.5,exponential,5,0.1,3000,3.661892500000249,0.05,2838,0.946,1.0,77.98196666666679,103.416,135.89733333333334,59.85,22520,3449,471
sparse,0.9,linear,3,0.1,3000,4.100631000001158,0.05,2763,0.921,1.0,58.697200000000215,102.29800000000002,152.015,39.44,46140,8187,471
sparse,0.9,linear,4,0.1,3000,3.946140899999591,0.05,2760,0.92,1.0,58.55380000000021,102.719,152.45166666666665,38.65,46302,8144,471
sparse,0.9,linear,5,0.1,3000,4.148537999999462,0.05,2747,0.9156666666666666,1.0,56.7478666666669,102.67200000000001,156.771,40.51,47827,8400,471
sparse,0.9,exponential,3,0.1,3000,2.495412199999919,0.05,2882,0.9606666666666667,1.0,83.35073333333344,102.98200000000001,93.50666666666666,39.55,23490,3621,471
sparse,0.9,exponential,4,0.1,3000,2.651399800000945,0.05,2861,0.9536666666666667,1.0,81.11496666666677,103.072,97.16866666666667,39.71,24330,4120,471
sparse,0.9,exponential,5,0.1,3000,2.51780940000026,0.05,2873,0.9576666666666667,1.0,82.50700000000009,103.375,96.033,40.21,24090,3663,471
sparse,0.99,linear,3,0.1,3000,4.105478699999367,0.05,2773,0.9243333333333333,1.0,58.64803333333356,103.514,151.89933333333335,39.5,46700,8359,471
sparse,0.99,linear,4,0.1,3000,4.0402759999997215,0.05,2770,0.9233333333333333,1.0,58.32380000000021,103.36800000000001,152.97366666666667,40.16,47029,8365,471
sparse,0.99,linear,5,0.1,3000,4.142405900000085,0.05,2759,0.9196666666666666,1.0,56.903066666666895,103.257,154.59133333333332,39.9,47835,8721,471
sparse,0.99,exponential,3,0.1,3000,2.53972210000029,0.05,2889,0.963,1.0,82.5575000000001,103.055,94.50333333333333,40.11,23933,4137,471
sparse,0.99,exponential,4,0.1,3000,2.835538799999995,0.05,2884,0.9613333333333334,1.0,83.95800000000008,103.736,104.62633333333333,48.11,21380,3024,471
