reward_mode,gamma,epsilon_schedule,seed,episode,step,state_row,state_column,has_key_before,selected_action,executed_action,reward,next_row,next_column,has_key_after,done,event,epsilon,alpha,old_q,next_max_q,td_target,td_error,new_q
sparse,0.9,linear,3,3000,1,1,1,0,down,down,-0.1,2,1,0,False,normal_move,0.05,0.1,3.101472363643726,3.616819734287317,3.1551377608585853,0.0536653972148593,3.1068389033652117
sparse,0.9,linear,3,3000,2,2,1,0,right,up,-0.1,1,1,0,False,normal_move,0.05,0.1,2.9366452675020915,3.1068389033652117,2.6961550130286907,-0.2404902544734009,2.9125962420547515
sparse,0.9,linear,3,3000,3,1,1,0,down,down,-0.1,2,1,0,False,normal_move,0.05,0.1,3.1068389033652117,3.616819734287317,3.1551377608585853,0.04829885749337359,3.111668789114549
sparse,0.9,linear,3,3000,4,2,1,0,down,down,-0.1,3,1,0,False,normal_move,0.05,0.1,3.616819734287317,4.433650187077086,3.8902851683693775,0.27346543408206037,3.6441662776955233
sparse,0.9,linear,3,3000,5,3,1,0,down,down,-0.1,4,1,0,False,normal_move,0.05,0.1,4.433650187077086,5.586801790640974,4.928121611576877,0.49447142449979076,4.483097329527065
sparse,0.9,linear,3,3000,6,4,1,0,down,down,-0.1,5,1,0,False,normal_move,0.05,0.1,5.586801790640974,6.2454687737843,5.520921896405871,-0.06587989423510354,5.5802138012174645
sparse,0.9,linear,3,3000,7,5,1,0,down,down,-0.1,6,1,0,False,normal_move,0.05,0.1,6.2454687737843,7.82168879773875,6.939519917964875,0.694051144180575,6.314873888202358
sparse,0.9,linear,3,3000,8,6,1,0,down,down,-0.1,7,1,0,False,normal_move,0.05,0.1,7.82168879773875,9.027852822479755,8.02506754023178,0.20337874249302956,7.8420266719880525
sparse,0.9,linear,3,3000,9,7,1,0,down,down,-0.1,8,1,0,False,normal_move,0.05,0.1,9.027852822479755,10.526729061872448,9.374056155685205,0.34620333320544994,9.0624731558003
sparse,0.9,linear,3,3000,10,8,1,0,down,down,-0.1,9,1,0,False,normal_move,0.05,0.1,10.526729061872448,12.492975498738982,11.143677948865085,0.6169488869926365,10.588423950571713
sparse,0.9,linear,3,3000,11,9,1,0,down,down,-0.1,10,1,0,False,normal_move,0.05,0.1,12.492975498738982,15.310031231958776,13.6790281087629,1.1860526100239177,12.611580759741374
