reward_mode,gamma,lambda,trace_type,epsilon_schedule,seed,alpha,episodes,execution_time,final_epsilon,successful_episodes,overall_success_rate,final_window_success_rate,mean_reward,mean_reward_last_window,mean_steps,mean_steps_last_window,total_wall_collisions,total_penalty_entries,state_count
sparse,0.9,0.0,replacing,exponential,3,0.1,3000,8.17635760000121,0.05,2635,0.8783333333333333,1.0,68.36830000000016,104.182,167.65266666666668,50.64,23453,2274,471
sparse,0.9,0.0,replacing,exponential,4,0.1,3000,7.2229411999978765,0.05,2657,0.8856666666666667,1.0,69.52880000000016,104.149,165.16166666666666,49.58,23461,2290,471
sparse,0.9,0.0,replacing,exponential,5,0.1,3000,6.67214740000054,0.05,2698,0.8993333333333333,1.0,71.76226666666682,103.572,156.58266666666665,50.76,23616,2435,471
sparse,0.9,0.3,replacing,exponential,3,0.1,3000,10.96136050000132,0.05,2651,0.8836666666666667,1.0,69.5499333333335,103.97399999999999,162.41833333333332,50.56,23813,2232,471
sparse,0.9,0.3,replacing,exponential,4,0.1,3000,10.680088600001909,0.05,2667,0.889,1.0,70.60400000000016,103.962,158.83066666666667,49.52,23537,2222,471
sparse,0.9,0.3,replacing,exponential,5,0.1,3000,10.217394399998739,0.05,2707,0.9023333333333333,1.0,72.84463333333349,103.63600000000001,151.946,51.06,23984,2192,471
sparse,0.9,0.7,replacing,exponential,3,0.1,3000,14.473730899997463,0.05,2727,0.909,1.0,74.32433333333348,103.82,145.495,50.23,23829,2154,471
sparse,0.9,0.7,replacing,exponential,4,0.1,3000,13.67621280000094,0.05,2765,0.9216666666666666,1.0,76.4572666666668,103.759,139.48366666666666,50.78,23345,2203,471
sparse,0.9,0.7,replacing,exponential,5,0.1,3000,14.087873399999808,0.05,2757,0.919,1.0,76.05783333333348,103.91400000000002,140.92666666666668,49.9,23872,2118,471
sparse,0.9,0.9,replacing,exponential,3,0.1,3000,18.507884000002377,0.05,2765,0.9216666666666666,1.0,75.88086666666682,103.67800000000001,137.98066666666668,50.03,24468,2433,471
sparse,0.9,0.9,replacing,exponential,4,0.1,3000,19.790185000001657,0.05,2731,0.9103333333333333,1.0,73.4851333333335,103.51899999999999,146.876,50.85,25608,2364,471
sparse,0.9,0.9,replacing,exponential,5,0.1,3000,19.964381399997364,0.05,2756,0.9186666666666666,1.0,75.06403333333348,103.459,139.215,50.11,24744,2589,471
shaped,0.9,0.0,replacing,exponential,3,0.1,3000,5.711681400000089,0.05,2915,0.9716666666666667,1.0,98.05866666666674,116.654,92.52266666666667,39.8,23681,3282,471
shaped,0.9,0.0,replacing,exponential,4,0.1,3000,5.572624899999937,0.05,2917,0.9723333333333334,1.0,97.6959333333334,116.86399999999999,94.54566666666666,38.59,24798,3210,471
shaped,0.9,0.0,replacing,exponential,5,0.1,3000,4.697477900001104,0.05,2921,0.9736666666666667,1.0,98.3005333333334,116.479,92.73533333333333,39.98,24094,3170,471
shaped,0.9,0.3,replacing,exponential,3,0.1,3000,6.9985116999996535,0.05,2914,0.9713333333333334,1.0,97.84276666666673,116.478,93.701,39.83,24486,3111,471
shaped,0.9,0.3,replacing,exponential,4,0.1,3000,6.930377199998475,0.05,2909,0.9696666666666667,1.0,97.04173333333341,116.818,94.30666666666667,39.05,25063,3354,471
shaped,0.9,0.3,replacing,exponential,5,0.1,3000,7.20478699999876,0.05,2913,0.971,1.0,97.64810000000007,116.56199999999998,92.91666666666667,39.1,24089,3375,471
shaped,0.9,0.7,replacing,exponential,3,0.1,3000,9.405228700001317,0.05,2910,0.97,1.0,97.39100000000008,116.017,93.13233333333334,39.67,24148,3418,471
shaped,0.9,0.7,replacing,exponential,4,0.1,3000,9.517687200001092,0.05,2899,0.9663333333333334,1.0,95.86646666666675,115.87,95.73866666666666,40.63,25582,3658,471
shaped,0.9,0.7,replacing,exponential,5,0.1,3000,10.591218099998514,0.05,2921,0.9736666666666667,1.0,97.90180000000007,116.52,91.79066666666667,38.55,24453,3392,471
shaped,0.9,0.9,replacing,exponential,3,0.1,3000,13.217986400002701,0.05,2908,0.9693333333333334,1.0,96.46993333333343,115.67299999999999,95.03233333333333,40.38,25034,3620,471
shaped,0.9,0.9,replacing,exponential,4,0.1,3000,11.38439180000205,0.05,2914,0.9713333333333334,1.0,97.13696666666675,115.571,93.285,38.79,24755,3537,471
shaped,0.9,0.9,replacing,exponential,5,0.1,3000,11.532145400000445,0.05,2907,0.969,1.0,96.99206666666674,116.198,93.54066666666667,39.73,25079,3372,471
